receiver_light,receiver_acceleration,receiver_angular_velocity,receiver_temperature,receiver_humidity,rssi,sender_light,sender_acceleration,sender_angular_velocity,sender_temperature,sender_humidity,receiver_id,sender_id0,0,0,0,0,-55,305344,102,227,3513,6154,27776,9216
2731,99,3990,3308,7255,-49,7863,98,9588,3275,6468,27776,9216
2731,99,3990,3308,7255,-62,10,95,10806,3139,7738,27776,8453
7482,98,8576,3304,7262,-51,14644,97,3005,3262,6477,27776,9216
7482,98,8576,3304,7262,-62,0,165,14993,3146,7751,27776,8453
9606,95,4103,3307,7272,-41,17797,108,4793,3245,6492,27776,9216
9606,95,4103,3307,7272,-58,0,133,13853,3151,7761,27776,8453
13133,104,4940,3306,7282,-60,16358,102,2988,3240,6516,27776,9216
13133,104,4940,3306,7282,-48,0,107,12334,3154,7763,27776,8453
19256,97,8029,3298,7291,-66,86016,104,4153,3229,6535,27776,9216
19256,97,8029,3298,7291,-57,0,164,13542,3158,7761,27776,8453
11358,93,5716,3296,7300,-50,40568,107,4338,3219,6554,27776,9216
11358,93,5716,3296,7300,-69,0,95,7470,3162,7761,27776,8453
4926,102,4187,3297,7314,-65,0,99,15037,3166,7762,27776,8453
5350,102,6749,3294,7322,-44,8747,106,2191,3223,6604,27776,9216
5350,102,6749,3294,7322,-66,0,112,13279,3170,7764,27776,8453
18475,104,17955,3285,7330,-46,15740,107,2877,3224,6628,27776,9216
18475,104,17955,3285,7330,-73,0,149,12300,3174,7755,27776,8453
31939,106,9879,3281,7337,-45,152016,94,2516,3222,6648,27776,9216
31939,106,9879,3281,7337,-69,0,92,8281,3177,7752,27776,8453
43960,108,5908,3284,7350,-54,178848,110,4159,3223,6667,27776,9216
43960,108,5908,3284,7350,-66,0,115,16508,3182,7745,27776,8453
60431,104,15519,3283,7362,-45,268832,102,4532,3219,6682,27776,9216
60431,104,15519,3283,7362,-50,0,97,11490,3186,7740,27776,8453
55567,108,9541,3277,7369,-43,230528,104,2857,3209,6696,27776,9216
55567,108,9541,3277,7369,-63,0,107,16374,3188,7732,27776,8453
70272,99,9283,3260,7376,-65,279104,95,5758,3194,6710,27776,9216
70272,99,9283,3260,7376,-60,0,94,9456,3191,7725,27776,8453
80944,99,9143,3243,7387,-48,235584,106,5110,3191,6728,27776,9216
80944,99,9143,3243,7387,-62,0,106,12756,3193,7717,27776,8453
